title,reldate,ageres,cover,plot,trailers,duration,likes,name
Dil Diyan Gallan,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/dil-diyan-gallan-et00100839-15-04-2019-02-09-33.jpg,"Natasha Waraich is an internet sensation who has fans all over the world and enjoys every bit of attention that comes her way. During a rousing speech as a guest of honour at a London university, she is rudely interrupted by Laddi, a culinary arts major who is disinterested in the digital revolution and all the clamour for attention. ",N/A,N/A,5756,Dil Diyan Gallan
Bau Na Vichaar,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/bahu-na-vichaar-et00100926-16-04-2019-01-54-47.jpg,"A resourceful youngster with a unique vision joins a reality show for entrepreneurs, hoping to win it and thereby prove his worth to his friends, family and business partners.",N/A,N/A,790,Bau Na Vichaar
Bornodi Bhotiai,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/bornodi-bhotiai-et00101266-22-04-2019-04-24-08.jpg,"Set in the island of Majuli, Bornodi Bhotiai follows the story of four boys who fall head over heels for the same girl. Educated but unemployed, all they dream of is a beautiful life with her. Their hilarious misadventures to win her heart forms the crux of the film.",N/A,N/A,90,Bornodi Bhotiai
Maharshi,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/maharshi-et00081372-09-08-2018-10-00-31.jpg,"Rishi, a millionaire businessman, returns to his homeland, where he becomes the champion of poor and downtrodden farmers. Directed by Vamsi Paidipally, Maharshi features Mahesh Babu  and Pooja Hegde in central roles.",N/A,N/A,43769,Maharshi
Student Of The Year 2,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/student-of-the-year-2-et00045192-17-04-2017-18-00-34.jpg,"The second installment in the campus-drama series Student of The Year (2012), Student Of The Year 2 is a Hindi movie featuring Tiger Shroff, Ananya Pandey and Tara Sutaria in the prominent roles.",N/A,N/A,54242,Student Of The Year 2
Chhota Bheem: Kung Fu Dhamaka,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/chhota-bheem-kung-fu-dhamaka-et00075945-17-05-2018-03-03-25.jpg,"Stronger than ever, our favourite little superhero Bheem and his friends are visiting the kingdom of China to participate in an annual martial arts competition. But when the country`s princess is kidnapped by an evil part-demon named Zuhu, Bheem decides to go after him and end Zuhu`s reign of terror.",N/A,N/A,6692,Chhota Bheem: Kung Fu Dhamaka
BRIGHTBURN,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/brightburn-et00099131-18-03-2019-03-36-48.jpg,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",N/A,N/A,4464,BRIGHTBURN
Pokemon Detective Pikachu,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/pokemon-detective-pikachu-et00088312-13-11-2018-10-58-13.jpg,"The story begins when ace private eye  Harry Goodman goes mysteriously missing, prompting his 21-year-old son Tim to find out what happened.  Aiding in the investigation is Harry's former Pokemon partner, Detective Pikachu: a hilariously  wise-cracking, adorable super-sleuth who is a puzzlement even to himself.Finding that they are uniquely equipped to communicate with  one  another, Tim and Pikachu join forces on a thrilling  adventure  to  unravel  the  tangled mystery. Chasing clues together through the neon-lit streets of Ryme City-a sprawling, modern metropolis where humans and Pokemon live side by side in a hyper-realistic live-action world - they encountera diverse cast of  Pokemon  characters  and  uncover  a  shocking  plot  that  could destroy this peaceful co-existence and threaten the whole Pokemon universe.",N/A,N/A,32678,Pokemon Detective Pikachu
Ayogya,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/ayogya-tamil-et00088789-19-11-2018-08-29-25.jpg,Ayogya is a Tamil movie starring Vishal Krishna Reddy and Raashi Khanna in prominent role. It is a drama directed by Venkat Mohan.,N/A,N/A,5437,Ayogya
Neeya 2,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/neeya-2-et00071907-05-03-2018-03-13-35.jpg,"Neeya 2 is a Tamil movie starring Raai Laxmi, Jai and Catherine Tresa. It is a drama directed by L. K. Suresh.",N/A,N/A,2140,Neeya 2
Nagakanya,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/nagakanya-et00101105-18-04-2019-04-55-44.jpg,Nagakanya is a Telugu movie starring Jai and Raai Laxmi in prominent roles. It is a drama directed by Suresh.,N/A,N/A,373,Nagakanya
Khananam,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/khananam-et00100808-15-04-2019-11-15-37.jpg,Khananam is a Telugu movie starring Aryavardan and Karishma Baruah in prominent roles. It is a drama directed by Raadha.,N/A,N/A,246,Khananam
Sorry,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/sorry-et00072695-17-03-2018-11-48-03.jpg,"It is a story of Sorry, a young college student, who aspires to become a writer. However, while penning down his play, he starts living in one of his characters. Will he be able to find his real identity?",N/A,N/A,1342,Sorry
Ek Hota Pani,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/ek-hota-pani-et00099851-29-03-2019-05-29-09.jpg,"In a village plagued by water scarcity, an illegal racket of profiteers divert the government water tankers. With the help of a news reporter, the villagers decide to take on the racket and put an end to the injustice.",N/A,N/A,273,Ek Hota Pani
66 Sadashiv,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/66-sadashiv-et00101662-26-04-2019-07-37-40.jpg,"66 Sadashiv is an emotional yet humorous story of Prabhakar Shrikhande, a typical Punekar who starts an institute to spread the awareness about mastering the techniques of a new art form and is trying to gain recognition for the same.",N/A,N/A,74,66 Sadashiv
