city,theatre,date,title,language,format,timings
hyderabad,Raghavendra 35mm: Malkajgiri,3,2019-05-01,Avengers: Endgame,Telugu,2D,02:00 PM
hyderabad,Raghavendra 35mm: Malkajgiri,2,2019-05-01,Avengers: Endgame,Telugu,2D,06:00 PM
hyderabad,Raghavendra 35mm: Malkajgiri,2,2019-05-01,Avengers: Endgame,Telugu,2D,09:00 PM
hyderabad,Sree Ramana 70MM 4K: Amberpet,1,2019-05-01,Avengers: Endgame,Telugu,2D,06:00 PM
hyderabad,Sree Ramana 70MM 4K: Amberpet,3,2019-05-01,Avengers: Endgame,Telugu,2D,09:10 PM
hyderabad,"Mukta A2 Cinemas, Laxmi: Shamshabad",1,2019-05-01,Avengers: Endgame,Telugu,3D,09:20 PM
hyderabad,Sri Mayuri Theatre: RTC X Roads,1,2019-05-01,Avengers: Endgame,Telugu,3D,06:15 PM
hyderabad,Sri Mayuri Theatre: RTC X Roads,1,2019-05-01,Avengers: Endgame,Telugu,3D,09:30 PM
hyderabad,AMB Cinemas: Gachibowli,1,2019-05-01,Avengers: Endgame,English,2D,04:00 PM
hyderabad,AMB Cinemas: Gachibowli,2,2019-05-01,Avengers: Endgame,English,2D,07:30 PM
hyderabad,Asian CineSquare Multiplex: Uppal,3,2019-05-01,Avengers: Endgame,English,2D,04:15 PM
hyderabad,Asian CineSquare Multiplex: Uppal,3,2019-05-01,Avengers: Endgame,English,2D,10:50 PM
hyderabad,Asian M Cube Mall: Attapur,3,2019-05-01,Avengers: Endgame,English,2D,04:20 PM
hyderabad,Asian Radhika Multiplex: ECIL,2,2019-05-01,Avengers: Endgame,English,2D,04:15 PM
hyderabad,Asian Radhika Multiplex: ECIL,1,2019-05-01,Avengers: Endgame,English,2D,10:40 PM
hyderabad,"Cinepolis: CCPL Mall Malkajgiri, Hyderabad",3,2019-05-01,Avengers: Endgame,English,2D,04:20 PM
hyderabad,"Cinepolis: CCPL Mall Malkajgiri, Hyderabad",3,2019-05-01,Avengers: Endgame,English,2D,10:40 PM
hyderabad,"Cinepolis: Mantra Mall, Attapur",2,2019-05-01,Avengers: Endgame,English,2D,03:35 PM
hyderabad,"Cinepolis: Mantra Mall, Attapur",3,2019-05-01,Avengers: Endgame,English,2D,07:20 PM
hyderabad,"Cinepolis: Mantra Mall, Attapur",2,2019-05-01,Avengers: Endgame,English,2D,11:00 PM
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad",2,2019-05-01,Avengers: Endgame,English,2D,10:45 PM
hyderabad,"INOX: GVK One, Banjara Hills",2,2019-05-01,Avengers: Endgame,English,2D,04:50 PM
hyderabad,"INOX: GVK One, Banjara Hills",2,2019-05-01,Avengers: Endgame,English,2D,11:15 PM
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad",2,2019-05-01,Avengers: Endgame,English,2D,06:40 PM
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad",3,2019-05-01,Avengers: Endgame,English,2D,06:55 PM
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad",1,2019-05-01,Avengers: Endgame,English,2D,10:30 PM
hyderabad,"PVR ICON: Hitech, Madhapur, Hyderabad",3,2019-05-01,Avengers: Endgame,English,2D,06:40 PM
hyderabad,"PVR ICON: Hitech, Madhapur, Hyderabad",3,2019-05-01,Avengers: Endgame,English,2D,10:30 PM
hyderabad,"PVR: Inorbit, Cyberabad",3,2019-05-01,Avengers: Endgame,English,2D,05:40 PM
hyderabad,"PVR: Irrum Manzil, Hyderabad",1,2019-05-01,Avengers: Endgame,English,2D,05:40 PM
hyderabad,"PVR: Irrum Manzil, Hyderabad",3,2019-05-01,Avengers: Endgame,English,2D,09:30 PM
hyderabad,"PVR: Musarambagh, Hyderabad",2,2019-05-01,Avengers: Endgame,English,2D,06:40 PM
hyderabad,"PVR: Musarambagh, Hyderabad",3,2019-05-01,Avengers: Endgame,English,2D,10:30 PM
hyderabad,"PVR: Next Galleria Mall, Panjagutta",2,2019-05-01,Avengers: Endgame,English,2D,05:40 PM
hyderabad,"PVR: Next Galleria Mall, Panjagutta",1,2019-05-01,Avengers: Endgame,English,2D,06:40 PM
hyderabad,"PVR: Next Galleria Mall, Panjagutta",2,2019-05-01,Avengers: Endgame,English,2D,09:30 PM
hyderabad,"PVR: Next Galleria Mall, Panjagutta",2,2019-05-01,Avengers: Endgame,English,2D,10:30 PM
hyderabad,"PVR: Panjagutta, Hyderabad",3,2019-05-01,Avengers: Endgame,English,2D,06:10 PM
hyderabad,"PVR: Panjagutta, Hyderabad",3,2019-05-01,Avengers: Endgame,English,2D,10:00 PM
hyderabad,"PVR: Play House Next Galleria Mall, Panjagutta",2,2019-05-01,Avengers: Endgame,English,2D,04:30 PM
hyderabad,Sandhya 35mm: RTC X Road,2,2019-05-01,Avengers: Endgame,English,2D,02:00 PM
hyderabad,Sandhya 35mm: RTC X Road,2,2019-05-01,Avengers: Endgame,English,2D,06:00 PM
hyderabad,Sandhya 35mm: RTC X Road,3,2019-05-01,Avengers: Endgame,English,2D,09:00 PM
hyderabad,Shanti Theatre: Narayanaguda,1,2019-05-01,Avengers: Endgame,English,2D,05:45 PM
hyderabad,Shanti Theatre: Narayanaguda,2,2019-05-01,Avengers: Endgame,English,2D,09:15 PM
hyderabad,Asian Swapna 70mm: Katedan,2,2019-05-01,Avengers: Endgame,Hindi,2D,06:00 PM
hyderabad,Asian Swapna 70mm: Katedan,1,2019-05-01,Avengers: Endgame,Hindi,2D,09:00 PM
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad",3,2019-05-01,Avengers: Endgame,Hindi,2D,04:00 PM
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad",2,2019-05-01,Avengers: Endgame,Hindi,2D,10:25 PM
hyderabad,Kumar Theatre: Kachiguda,3,2019-05-01,Avengers: Endgame,Hindi,2D,02:30 PM
hyderabad,Kumar Theatre: Kachiguda,2,2019-05-01,Avengers: Endgame,Hindi,2D,06:00 PM
hyderabad,Kumar Theatre: Kachiguda,2,2019-05-01,Avengers: Endgame,Hindi,2D,09:00 PM
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad",1,2019-05-01,Avengers: Endgame,Hindi,2D,10:45 PM
hyderabad,Santosh Cinemas: Abids,3,2019-05-01,Avengers: Endgame,Hindi,2D,02:30 PM
hyderabad,Santosh Cinemas: Abids,1,2019-05-01,Avengers: Endgame,Hindi,2D,06:00 PM
hyderabad,Santosh Cinemas: Abids,3,2019-05-01,Avengers: Endgame,Hindi,2D,09:15 PM
hyderabad,Sree Rama Theatre: Bahadurpura,3,2019-05-01,Avengers: Endgame,Hindi,2D,02:30 PM
hyderabad,Sree Rama Theatre: Bahadurpura,2,2019-05-01,Avengers: Endgame,Hindi,2D,06:00 PM
hyderabad,Sree Rama Theatre: Bahadurpura,2,2019-05-01,Avengers: Endgame,Hindi,2D,09:00 PM
hyderabad,"Cinepolis: Mantra Mall, Attapur",2,2019-05-01,Avengers: Endgame,Hindi,3D,07:10 PM
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad",3,2019-05-01,Avengers: Endgame,Hindi,3D,06:55 PM
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad",3,2019-05-01,Avengers: Endgame,Hindi,3D,10:35 PM
hyderabad,INOX: Maheshwari,3,2019-05-01,Avengers: Endgame,Hindi,3D,07:00 PM
hyderabad,INOX: Maheshwari,3,2019-05-01,Avengers: Endgame,Hindi,3D,10:30 PM
hyderabad,Mukta A2 Cinemas: Abids,2,2019-05-01,Avengers: Endgame,Hindi,3D,06:15 PM
hyderabad,Mukta A2 Cinemas: Abids,1,2019-05-01,Avengers: Endgame,Hindi,3D,09:45 PM
hyderabad,"PVR: 4DX, Irrum Manzil, Hyderabad",2,2019-05-01,Avengers: Endgame,English,3D 4DX,06:10 PM
hyderabad,"PVR: 4DX, Irrum Manzil, Hyderabad",3,2019-05-01,Avengers: Endgame,English,3D 4DX,10:00 PM
hyderabad,AMB Cinemas: Gachibowli,2,2019-05-02,Avengers: Endgame,English,3D,09:20 AM
hyderabad,AMB Cinemas: Gachibowli,2,2019-05-02,Avengers: Endgame,English,3D,12:40 PM
hyderabad,AMB Cinemas: Gachibowli,1,2019-05-02,Avengers: Endgame,English,3D,12:55 PM
hyderabad,AMB Cinemas: Gachibowli,3,2019-05-02,Avengers: Endgame,English,3D,07:15 PM
hyderabad,AMB Cinemas: Gachibowli,1,2019-05-02,Avengers: Endgame,English,3D,08:50 AM
hyderabad,AMB Cinemas: Gachibowli,1,2019-05-02,Avengers: Endgame,English,3D,09:10 AM
hyderabad,AMB Cinemas: Gachibowli,2,2019-05-02,Avengers: Endgame,English,3D,09:25 AM
hyderabad,AMB Cinemas: Gachibowli,2,2019-05-02,Avengers: Endgame,English,3D,12:20 PM
hyderabad,AMB Cinemas: Gachibowli,1,2019-05-02,Avengers: Endgame,English,3D,12:40 PM
hyderabad,AMB Cinemas: Gachibowli,2,2019-05-02,Avengers: Endgame,English,3D,07:15 PM
hyderabad,AMB Cinemas: Gachibowli,2,2019-05-02,Avengers: Endgame,English,3D,10:40 PM
hyderabad,AMB Cinemas: Gachibowli,2,2019-05-02,Avengers: Endgame,English,3D,10:45 PM
hyderabad,Asian Cineplanet Multiplex: Kompally,2,2019-05-02,Avengers: Endgame,English,3D,09:15 AM
hyderabad,Asian Cineplanet Multiplex: Kompally,2,2019-05-02,Avengers: Endgame,English,3D,12:45 PM
hyderabad,Asian Cineplanet Multiplex: Kompally,2,2019-05-02,Avengers: Endgame,English,3D,04:30 PM
hyderabad,Asian Cineplanet Multiplex: Kompally,1,2019-05-02,Avengers: Endgame,English,3D,07:15 PM
hyderabad,Asian Cineplanet Multiplex: Kompally,3,2019-05-02,Avengers: Endgame,English,3D,10:45 PM
hyderabad,Asian CineSquare Multiplex: Uppal,1,2019-05-02,Avengers: Endgame,English,3D,09:30 AM
hyderabad,Asian CineSquare Multiplex: Uppal,1,2019-05-02,Avengers: Endgame,English,3D,01:00 PM
hyderabad,Asian CineSquare Multiplex: Uppal,3,2019-05-02,Avengers: Endgame,English,3D,07:35 PM
hyderabad,Asian CineSquare Multiplex: Uppal,3,2019-05-02,Avengers: Endgame,English,3D,11:05 PM
hyderabad,Asian GPR Multiplex: Kukatpally,2,2019-05-02,Avengers: Endgame,English,3D,09:40 AM
hyderabad,Asian GPR Multiplex: Kukatpally,1,2019-05-02,Avengers: Endgame,English,3D,12:00 PM
hyderabad,Asian GPR Multiplex: Kukatpally,2,2019-05-02,Avengers: Endgame,English,3D,03:35 PM
hyderabad,Asian GPR Multiplex: Kukatpally,1,2019-05-02,Avengers: Endgame,English,3D,07:05 PM
hyderabad,Asian GPR Multiplex: Kukatpally,2,2019-05-02,Avengers: Endgame,English,3D,10:40 PM
hyderabad,Asian Lakshmikala Cinepride: Moosapet,2,2019-05-02,Avengers: Endgame,English,3D,06:15 PM
hyderabad,Asian Lakshmikala Cinepride: Moosapet,1,2019-05-02,Avengers: Endgame,English,3D,10:00 PM
