city,theatre
hyderabad,Asian Cineplanet Multiplex: Kompally
hyderabad,Asian CineSquare Multiplex: Uppal
hyderabad,Asian Ganga 4K: Dilsukhnagar
hyderabad,Asian GPR Multiplex: Kukatpally
hyderabad,Asian Lakshmikala Cinepride: Moosapet
hyderabad,Asian M Cube Mall: Attapur
hyderabad,Asian Radhika Multiplex: ECIL
hyderabad,Asian Shahensha: Chintal
hyderabad,Asian Swapna 35mm: Katedan
hyderabad,BVK Multiplex Vijayalakshmi: LB Nagar
hyderabad,Carnival: Ameerpet
hyderabad,"Carnival: Leonia, Shameerpet"
hyderabad,"Cinepolis: CCPL Mall Malkajgiri, Hyderabad"
hyderabad,"Cinepolis: Manjeera Mall, Kukatpally"
hyderabad,"Cinepolis: Mantra Mall, Attapur"
hyderabad,"Cinepolis: Sudha Cinemas, Hyderabad"
hyderabad,Devi 70mm 4K & Dolby Atmos: RTC X Roads
hyderabad,"INOX: GVK One, Banjara Hills"
hyderabad,INOX: Maheshwari
hyderabad,Jyothi Cinema: IDA Bolaram
hyderabad,Krishna Cinema: Nagaram (Dammaiguda)
hyderabad,Lakshmi Kala Mandir: Alwal
hyderabad,Metro Cinema: Bahadurpura
hyderabad,"Miraj Cinemas: Shalini Shivani, Hyderabad"
hyderabad,"Mukta A2 Cinemas, Laxmi: Shamshabad"
hyderabad,Nagendra: Karmanghat
hyderabad,Platinum Movietime: Gachibowli
hyderabad,Prashant Cinema: Secunderabad
hyderabad,Priya Theatre: Malleypally
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad"
hyderabad,"PVR ICON: Hitech, Madhapur, Hyderabad"
hyderabad,"PVR: Inorbit, Cyberabad"
hyderabad,"PVR: Irrum Manzil, Hyderabad"
hyderabad,"PVR: Musarambagh, Hyderabad"
hyderabad,"PVR: Next Galleria Mall, Panjagutta"
hyderabad,"PVR: Panjagutta, Hyderabad"
hyderabad,Raghavendra Mini: Malkajgiri
hyderabad,Rajdhani Deluxe Theatre: Dilsukhnagar
hyderabad,Rajyalakshmi 70mm: Uppal
hyderabad,Ranga Theatre 70MM: Jeedimetla
hyderabad,Sai Ranga: Miyapur
hyderabad,Sapna Cinemas: Abids
hyderabad,Sensation Insomnia: Khairatabad
hyderabad,Sharada 70mm: Kapra
hyderabad,Shiva Parvathi Cinema: Kukatpally
hyderabad,"SPI: S2 Mallapur Noma Talkies, Secunderabad"
hyderabad,Sree Ramana Gold 4K & Dolby 7.1: Amberpet
hyderabad,Sree Sai Puja: Suraram
hyderabad,Sri Krishna Theatre: Aliabad (Shameerpet)
hyderabad,Sri Prema: Tukkuguda
hyderabad,Sri Venkata Sai 70MM: Keesara
hyderabad,Sridevi Cinema: Chanda Nagar
hyderabad,SV Cinesquare 2K Dolby: Patancheru
hyderabad,Talluri Theatres: Kushaiguda
hyderabad,Tivoli Cinemas: Secunderabad
hyderabad,Vijayalakshmi Talkies: Maheshwaram
hyderabad,Vijetha 70MM: Borabanda
hyderabad,Vimal 70mm: Balanagar
hyderabad,Vishnu Cinemas A/C DTS: Vanasthalipuram
hyderabad,Vyjayanthi Cinema: Nacharam
hyderabad,Yadagiri Theatre: Santosh Nagar
hyderabad,AMB Cinemas: Gachibowli
hyderabad,Amba Theatre: Mehdipatnam
hyderabad,Asian Cineplanet Multiplex: Kompally
hyderabad,Asian CineSquare Multiplex: Uppal
hyderabad,Asian Ganga 4K: Dilsukhnagar
hyderabad,Asian GPR Multiplex: Kukatpally
hyderabad,Asian Lakshmikala Cinepride: Moosapet
hyderabad,Asian M Cube Mall: Attapur
hyderabad,Asian Radhika Multiplex: ECIL
hyderabad,Asian Shahensha: Chintal
hyderabad,Asian Shiva 4K: Dilsukhnagar
hyderabad,BVK Multiplex Vijayalakshmi: LB Nagar
hyderabad,Carnival: Ameerpet
hyderabad,Cine Town: Miyapur
hyderabad,"Cinepolis: CCPL Mall Malkajgiri, Hyderabad"
hyderabad,"Cinepolis: Manjeera Mall, Kukatpally"
hyderabad,"Cinepolis: Mantra Mall, Attapur"
hyderabad,Devi 70mm 4K & Dolby Atmos: RTC X Roads
hyderabad,"INOX: GVK One, Banjara Hills"
hyderabad,INOX: Maheshwari
hyderabad,Jyothi Cinema: IDA Bolaram
hyderabad,Krishna Cinema: Nagaram (Dammaiguda)
hyderabad,Lakshmi Kala Mandir: Alwal
hyderabad,Metro Cinema: Bahadurpura
hyderabad,"Miraj Cinemas: Shalini Shivani, Hyderabad"
hyderabad,"Mukta A2 Cinemas, Laxmi: Shamshabad"
hyderabad,Nagendra: Karmanghat
hyderabad,Prasads: Hyderabad
hyderabad,Prashant Cinema: Secunderabad
hyderabad,Priya Theatre: Malleypally
hyderabad,"PVR Forum Sujana Mall: Kukatpally, Hyderabad"
hyderabad,"PVR ICON: Hitech, Madhapur, Hyderabad"
hyderabad,"PVR: Inorbit, Cyberabad"
hyderabad,"PVR: Irrum Manzil, Hyderabad"
hyderabad,"PVR: Musarambagh, Hyderabad"
hyderabad,"PVR: Next Galleria Mall, Panjagutta"
hyderabad,"PVR: Panjagutta, Hyderabad"
hyderabad,"PVR: RK Cineplex, Hyderabad"
hyderabad,Raghavendra Mini: Malkajgiri
hyderabad,Rajdhani Deluxe Theatre: Dilsukhnagar
hyderabad,Rajyalakshmi 70mm: Uppal
hyderabad,Ranga Theatre 70MM: Jeedimetla
hyderabad,Sai Ranga: Miyapur
hyderabad,Sapna Cinemas: Abids
hyderabad,Sensation Insomnia: Khairatabad
hyderabad,Sharada 70mm: Kapra
hyderabad,Shiva Parvathi Cinema: Kukatpally
hyderabad,"SPI: S2 Mallapur Noma Talkies, Secunderabad"
hyderabad,Sree Ramana Gold 4K & Dolby 7.1: Amberpet
hyderabad,Sree Sai Puja: Suraram
hyderabad,Sri Krishna Theatre: Aliabad (Shameerpet)
hyderabad,Sri Prema: Tukkuguda
hyderabad,Sri Venkata Sai 70MM: Keesara
hyderabad,Sridevi Cinema: Chanda Nagar
hyderabad,SV Cinesquare 2K Dolby: Patancheru
hyderabad,Talluri Theatres: Kushaiguda
hyderabad,Tivoli Cinemas: Secunderabad
hyderabad,Vijayalakshmi Talkies: Maheshwaram
hyderabad,Vijetha 70MM: Borabanda
hyderabad,Vimal 70mm: Balanagar
hyderabad,Vishnu Cinemas A/C DTS: Vanasthalipuram
hyderabad,Vyjayanthi Cinema: Nacharam
