Acc,Cans,Kilograms,Fat,SNF,Date,Shift
925,1,36,5.4,8.1,2017-09-12,0
457,2,47,5.1,8.0,2017-09-12,0
949,2,49,5.9,8.3,2017-09-12,0
949,2,78,7.1,8.6,2017-09-12,1
3536,1,10,7.4,8.5,2017-09-12,1
471,1,6,6.6,8.0,2017-09-12,1
925,1,27,5.5,8.0,2017-09-12,1
893,1,29,7.1,8.2,2017-09-12,1
786,1,14,4.9,8.0,2017-09-12,1
871,2,41,6.1,8.3,2017-09-12,1
2959,2,71,7.2,8.6,2017-09-12,1
865,1,33,7.0,8.3,2017-09-12,1
3665,6,213,7.3,8.8,2017-09-12,1
873,2,56,6.2,8.3,2017-09-12,1
795,5,163,7.4,8.8,2017-09-12,1
457,1,24,4.9,8.0,2017-09-12,1
925,1,24,5.7,8.3,2017-09-13,1
893,1,34,6.5,8.4,2017-09-13,1
786,1,9,5.5,8.2,2017-09-13,1
871,2,53,5.9,8.3,2017-09-13,1
795,4,124,7.7,8.7,2017-09-13,1
865,2,53,6.9,8.4,2017-09-13,1
3665,3,117,7.9,9.0,2017-09-13,1
873,2,58,5.9,8.6,2017-09-13,1
457,1,16,5.3,8.2,2017-09-13,1
2959,2,73,7.1,8.7,2017-09-13,1
949,3,89,7.2,8.8,2017-09-13,1
3536,2,56,6.2,8.7,2017-09-13,1
949,2,47,5.9,8.8,2017-09-13,0
873,2,61,5.6,8.4,2017-09-13,0
3665,3,97,8.2,9.0,2017-09-13,0
865,1,23,6.2,8.3,2017-09-13,0
2959,1,30,6.8,8.7,2017-09-13,0
871,2,78,5.4,8.2,2017-09-13,0
786,1,9,6.5,8.2,2017-09-13,0
893,1,22,6.5,8.4,2017-09-13,0
925,1,33,5.4,8.3,2017-09-13,0
457,2,46,5.1,8.1,2017-09-13,0
3536,1,36,5.6,8.6,2017-09-13,0
795,3,99,7.5,8.7,2017-09-13,0
925,1,24,5.7,8.2,2017-09-14,1
893,1,34,6.7,8.3,2017-09-14,1
786,1,11,4.9,8.2,2017-09-14,1
871,2,43,5.6,8.3,2017-09-14,1
457,2,41,4.7,8.0,2017-09-14,1
865,1,40,6.6,8.6,2017-09-14,1
3665,6,226,7.6,8.9,2017-09-14,1
873,2,49,6.0,8.4,2017-09-14,1
795,4,130,7.4,8.6,2017-09-14,1
2959,2,70,7.2,8.7,2017-09-14,1
3536,2,60,6.4,8.5,2017-09-14,1
949,2,54,6.2,8.8,2017-09-14,0
795,3,110,7.6,8.6,2017-09-14,0
949,3,90,7.2,8.9,2017-09-14,1
457,2,41,5.0,8.2,2017-09-14,0
925,1,31,5.5,8.2,2017-09-14,0
893,1,25,6.4,8.4,2017-09-14,0
786,1,8,5.9,8.2,2017-09-14,0
3536,1,30,5.4,8.5,2017-09-14,0
2959,1,29,7.1,8.7,2017-09-14,0
865,1,21,6.1,8.6,2017-09-14,0
3665,5,180,8.1,9.0,2017-09-14,0
873,1,35,5.6,8.4,2017-09-14,0
871,2,41,5.3,8.3,2017-09-14,0
457,1,37,5.1,8.0,2017-09-15,1
795,5,162,7.9,8.8,2017-09-15,1
873,2,58,6.4,8.4,2017-09-15,1
3665,7,245,8.1,9.0,2017-09-15,1
865,2,45,7.2,8.5,2017-09-15,1
2959,2,70,7.0,8.4,2017-09-15,1
871,2,44,5.7,8.3,2017-09-15,1
893,1,34,7.0,8.2,2017-09-15,1
925,1,24,5.8,8.0,2017-09-15,1
3536,2,49,6.3,8.6,2017-09-15,1
949,2,61,6.3,8.6,2017-09-15,0
795,4,140,7.8,8.7,2017-09-15,0
3536,1,33,5.2,8.6,2017-09-15,0
457,1,35,4.8,8.0,2017-09-15,0
925,1,32,5.1,8.0,2017-09-15,0
893,1,26,6.8,8.2,2017-09-15,0
949,2,72,7.5,8.7,2017-09-15,1
2959,1,31,6.5,8.5,2017-09-15,0
865,1,23,6.0,8.7,2017-09-15,0
3665,7,265,3.2,8.4,2017-09-15,0
873,2,42,4.8,8.2,2017-09-15,0
871,1,31,5.6,8.4,2017-09-15,0
3536,2,67,7.4,8.9,2017-09-16,1
873,2,58,6.1,8.5,2017-09-16,1
3665,5,194,7.8,8.9,2017-09-16,1
865,2,44,6.5,8.6,2017-09-16,1
2959,2,76,7.1,8.7,2017-09-16,1
871,2,47,5.6,8.4,2017-09-16,1
786,1,12,5.2,8.3,2017-09-16,1
893,1,38,6.3,8.4,2017-09-16,1
925,1,24,5.4,8.2,2017-09-16,1
457,1,25,3.1,8.3,2017-09-16,1
795,4,140,7.4,8.7,2017-09-16,1
949,2,79,7.5,8.7,2017-09-16,1
